1,Honor_30Pro,手机,好用,手机好用,2
1,Honor_30Pro,玩游戏,流畅,玩游戏流畅,2
1,Honor_30Pro,桌面,流畅,桌面流畅,2
2,Honor_30Pro,性能,不错,性能不错,2
2,Honor_30Pro,功能,不错,功能不错,2
2,Honor_30Pro,手机,不错,手机不错,2
2,Honor_30Pro,拍照效果,好,拍照效果好,2
3,Honor_30Pro,手感,不错,手感不错,2
4,Honor_30Pro,服务,好,服务好,2
4,Honor_30Pro,外观,好,外观好,2
4,Honor_30Pro,电池续航,好,电池续航好,2
4,Honor_30Pro,游戏,好,游戏好,2
4,Honor_30Pro,运行速度,快,运行速度快,2
4,Honor_30Pro,拍照,清晰,拍照清晰,2
5,Honor_30Pro,拍照,好,拍照好,2
6,Honor_30Pro,像素,清,像素清,2
6,Honor_30Pro,手感,舒服,手感舒服,2
7,Honor_30Pro,反应,快,反应快,2
7,Honor_30Pro,手机,挺好,手机挺好,2
9,Honor_30Pro,清晰度,高,清晰度高,2
9,Honor_30Pro,显示效果,清晰,显示效果清晰,2
9,Honor_30Pro,续航时间,长,续航时间长,2
10,Honor_30Pro,效果,好,效果好,2
10,Honor_30Pro,充电,快,充电快,2
11,Honor_30Pro,拍照效果,好,拍照效果好,2
11,Honor_30Pro,发货速度,快,发货速度快,2
13,Honor_30Pro,外观,好看,外观好看,2
14,Honor_30Pro,拍照效果,好,拍照效果好,2
15,Honor_30Pro,颜色,不错,颜色不错,2
15,Honor_30Pro,态度,好,态度好,2
16,Honor_30Pro,品质,好,品质好,2
16,Honor_30Pro,效果,好,效果好,2
16,Honor_30Pro,服务态度,好,服务态度好,2
16,Honor_30Pro,技术,精湛,技术精湛,2
16,Honor_30Pro,设计,美观,设计美观,2
18,Honor_30Pro,外观,大气,外观大气,2
18,Honor_30Pro,手机,好用,手机好用,2
18,Honor_30Pro,运行速度,快,运行速度快,2
19,Honor_30Pro,物流,快,物流快,2
20,Honor_30Pro,声音,大,声音大,0
20,Honor_30Pro,充电速度,快,充电速度快,2
20,Honor_30Pro,运行速度,快,运行速度快,2
20,Honor_30Pro,物流,快,物流快,2
20,Honor_30Pro,拍照效果,清晰,拍照效果清晰,2
20,Honor_30Pro,显示效果,清晰,显示效果清晰,2
22,Honor_30Pro,拍照,好,拍照好,2
23,Honor_30Pro,手感,好,手感好,2
23,Honor_30Pro,物流,快,物流快,2
24,Honor_30Pro,手机,好用,手机好用,2
25,Honor_30Pro,像素,高,像素高,2
26,Honor_30Pro,音质,好,音质好,2
26,Honor_30Pro,外观,好看,外观好看,2
26,Honor_30Pro,运行,流畅,运行流畅,2
28,Honor_30Pro,颜色,好看,颜色好看,2
28,Honor_30Pro,手感,爽,手感爽,2
29,Honor_30Pro,手感,不错,手感不错,2
29,Honor_30Pro,样子,还可以,样子还可以,2
30,Honor_30Pro,功能,强大,功能强大,2
31,Honor_30Pro,拍照效果,好,拍照效果好,2
31,Honor_30Pro,显示效果,好,显示效果好,2
32,Honor_30Pro,品质,不错,品质不错,2
32,Honor_30Pro,屏幕清晰度,高,屏幕清晰度高,2
33,Honor_30Pro,手机手感,好,手机手感好,2
33,Honor_30Pro,颜色,好看,颜色好看,2
33,Honor_30Pro,声音,清晰,声音清晰,2
34,Honor_30Pro,手感,棒,手感棒,2
34,Honor_30Pro,拍照,不错,拍照不错,2
34,Honor_30Pro,手机,不错,手机不错,2
34,Honor_30Pro,手机,好,手机好,2
34,Honor_30Pro,表现,好,表现好,2
35,Honor_30Pro,清晰度,高,清晰度高,2
35,Honor_30Pro,拍照效果,好,拍照效果好,2
35,Honor_30Pro,像素,清晰,像素清晰,2
35,Honor_30Pro,待机,长,待机长,2
35,Honor_30Pro,待机时间,长,待机时间长,2
37,Honor_30Pro,手机,流畅,手机流畅,2
38,Honor_30Pro,手感,不错,手感不错,2
38,Honor_30Pro,速度,快,速度快,2
40,Honor_30Pro,手感,棒,手感棒,2
40,Honor_30Pro,价格,便宜,价格便宜,2
40,Honor_30Pro,物流,快,物流快,2
44,Honor_30Pro,手感,不错,手感不错,2
44,Honor_30Pro,手感,还不错,手感还不错,2
44,Honor_30Pro,运行速度,快,运行速度快,2
44,Honor_30Pro,拍照,清晰,拍照清晰,2
46,Honor_30Pro,质量,好,质量好,2
47,Honor_30Pro,性能,不差,性能不差,2
47,Honor_30Pro,手机,不错,手机不错,2
48,Honor_30Pro,拍照,好,拍照好,2
50,Honor_30Pro,颜值,高,颜值高,2
50,Honor_30Pro,手机,好,手机好,2
51,Honor_30Pro,手机,不错,手机不错,2
51,Honor_30Pro,内存,大,内存大,2
51,Honor_30Pro,手感,好,手感好,2
51,Honor_30Pro,内存,一般,内存一般,0
52,Honor_30Pro,音质,不错,音质不错,2
52,Honor_30Pro,显示效果,好,显示效果好,2
52,Honor_30Pro,运行速度,快,运行速度快,2
53,Honor_30Pro,发货,快,发货快,2
53,Honor_30Pro,速度,快,速度快,2
53,Honor_30Pro,拍照效果,清晰,拍照效果清晰,2
54,Honor_30Pro,手机,好,手机好,2
54,Honor_30Pro,电池续航,好,电池续航好,2
54,Honor_30Pro,效果,好,效果好,2
54,Honor_30Pro,性能,强大,性能强大,2
